Datetime,Text
2022-06-13 23:59:59+00:00,@MeaghanBurden I wore them everywhere and I got 3 shots of vaccine and still got sick as fuck with covid none of it works
2022-06-13 23:59:48+00:00,"PENTAGON'S KILLING OWN SOLDIERS; TOP BRASS KNEW THAT COVID SO-CALLED ""VACCINE"" IS A DEPOPULATION BIOWEAPON.@thejointstaff @USArmy @ArmyTimes @USNavy @USAirForce @USMC @NationalGuard @USCG @RandPaul @RonPaul @codeofvets @cov_Gretchen @TuckerCarlson @IngrahamAngle @christina_bobb https://t.co/wnA0edYSZv"
2022-06-13 23:59:40+00:00,Who even listens to these idiots anymore. They were dead wrong with Covid vaccines and now you are gonna be dumb enough to take another vaccine for an even more mild flu? My goodness people be dumb. https://t.co/1GDmpClrTu
2022-06-13 23:59:34+00:00,@JustinTrudeau You’ve had CoViD more times than anyone I know has been sick in the last 2 years… your a used car salesman for vaccines at this point…
2022-06-13 23:59:08+00:00,$ocgn I don’t know when but eventually everyone will admit only dead virus vaccines will work on Covid. I guess we just need more people to die. Mrna doesn’t work. Let’s go by the science not who pays the most to the govt. @DrCaliff_FDA @US_FDA @DrWoodcockFDA #IchooseCOVAXIN
2022-06-13 23:58:59+00:00,@covid_parent I say Trudeau had to many vaccines he sure is getting Covid a lot
2022-06-13 23:58:45+00:00,@Wr14573966Wr @covid_parent CORRECTION: Vaccines cause an apparent infection but what is really happening is the destruction of the Vaccinated persons immune system allowing them to catch anything and everything. Good Luck.
2022-06-13 23:58:42+00:00,"@westcoast_DJ @MelissaMbarki @JustinTrudeau from the article Chief public health officer Dr. Theresa Tam has said that cabinet should re-evaluate the measure given that vaccines now provide less protection against transmission
Vaccine mandates made sense when it came to curbing the spread of earlier COVID-19 variants, but"
2022-06-13 23:58:32+00:00,"@JustinTrudeau LOL ça ne marche pas vos injections expérimentales. Une véritable arnaque. Les non « vaccinés » se portent très bien, et même mieux que les hypocondriaques triple-injectés qui se chopent des covid à répétition"
2022-06-13 23:58:17+00:00,"@newscomauHQ From the sounds of it should wait till the updated vaccine is out then get that. I can see 2 jabs a year for me,  one for influenza and one for covid unless they manage to combine the 2 into one."
2022-06-13 23:58:17+00:00,"@JustinTrudeau So let me get this straight, you believe in the vaccine to defend yourself against Covid but Canadians can't use a gun to defend their lives? #LogicVacuum"
2022-06-13 23:58:16+00:00,"Jazz Jennings from I Am Jazz deserves better than this. I know she's an adult now, but her outreach in Florida can't be destroyed bc one doctor who claims covid vaccines and gender reaffirming surgeries are political"
2022-06-13 23:58:03+00:00,@Lucky7Paul “Most cases of suspected COVID-19 vaccine myocarditis occurring in persons &lt;21 years have a mild clinical course with rapid resolution of symptoms.”
2022-06-13 23:57:57+00:00,@TheWholeTruth13 @LozzaFox Educate yourself. Covid vaccine may lead to flare ups of shingles and Ramsay Hunt disease.
2022-06-13 23:57:56+00:00,"Per MedPageToday:  COVID mRNA Vaccines Safe, Effective for Babies and Toddlers, Says FDA Staff"
2022-06-13 23:57:24+00:00,"Fully vaccinated Canadian Prime Minister Justin Trudeau, has tested COVID positive, a second time. But according to him and his fellow puppets, the vaccine works. https://t.co/E88bTfVmok"
2022-06-13 23:57:16+00:00,@NaphiSoc @JoeDoe22125021 No one was contracting shingles from Covid before the vaccines came out. No one. Sudden Adult Death Syndrome either. What is it with you people that you can't see what these vaccine are doing? You can't get that dumb. So why? Ignorance?
2022-06-13 23:57:16+00:00,"Paper was taken down.

""Twenty six cases of CJD declared a few days after a COVID-19 “vaccine” Jab""

https://t.co/ThRDKOFORt"
2022-06-13 23:57:09+00:00,@fanboiVA i’ll collect all the covid vaccines fuck it HAAHHAAHAHAAH
2022-06-13 23:56:44+00:00,"@Jules31415 Wow!😯  That is pretty unbelievable! I wish I had never gotten the vaccine at all, but I'm really glad that at least I didn't get the booster.😌 Basically the more shots you have, you have a greater likelihood of contracting Covid, it seems.🙄"
2022-06-13 23:56:36+00:00,"@PeterHotez The insanely ineffective and dangerous covid vaccines will destroy the vaccine industry.  All trust in our supposed health authorities is gone, as it should be.  Deep dives into every vaccine administered should be required."
2022-06-13 23:56:35+00:00,"So it seems the ""conspiracy theorists"" (= the scientists that were cencored and silenced) were right once again. mRNA covid vaccines are killing healthy people. We need to talk about what it is - organized crime, neglect, fraud and supression of good science! https://t.co/xbXQaQLfXR"
2022-06-13 23:56:33+00:00,@TruckerChick379 @realDailyWire It’s all propaganda I know Covid is real but I sure can’t trust the vaccine. I lived through it
